ProductID,ProductName,Category,HazardClass,Supplier,Stock,Price,ReorderLevel
101,Xylene,Chemicals,A,ChemSupply Co.,11,276.64,17
102,Methanol,Chemicals,B,FurniTech,13,62.58,32
103,Formaldehyde,Chemicals,B,LabSource,28,32.08,35
104,Bookshelf,Furniture,C,OfficeMax,39,20.57,21
105,Disinfectant,Cleaning,B,FurniTech,33,95.49,20
106,Petri Dishes,Laboratory,B,FurniTech,25,118.76,33
107,Monitor,Electronics,B,CleanAll Ltd.,46,106.57,27
108,Methanol,Chemicals,A,ChemSupply Co.,16,102.03,17
109,Office Desk,Furniture,D,CleanAll Ltd.,28,8.62,36
110,All-Purpose Cleaner,Cleaning,B,CleanAll Ltd.,14,115.56,20
111,Analytical Balance,Laboratory,A,CleanAll Ltd.,24,110.6,12
112,Standing Desk,Furniture,C,OfficeMax,65,56.02,30
113,Beakers,Laboratory,B,TechWorld Inc.,34,42.7,19
114,Acetone,Chemicals,B,OfficeMax,15,94.67,27
115,Safety Goggles,Safety Equipment,D,FurniTech,39,42.23,28
116,Chemical Gloves,Safety Equipment,D,ChemSupply Co.,30,30.32,38
117,Office Chair,Furniture,D,TechWorld Inc.,55,11.97,38
118,Hand Sanitizer,Cleaning,C,TechWorld Inc.,43,40.62,40
119,Ear Protection,Safety Equipment,D,FurniTech,36,15.76,45
120,Keyboard,Electronics,D,TechWorld Inc.,51,66.62,47
121,Hydrochloric Acid,Chemicals,B,LabSource,47,81.11,20
122,Wet Mop,Cleaning,B,OfficeMax,17,85.93,29
123,Conference Table,Furniture,C,ChemSupply Co.,32,35.98,26
124,pH Meter,Laboratory,C,LabSource,67,16.16,39
125,First Aid Kit,Safety Equipment,D,ChemSupply Co.,36,68.82,29
126,Pipettes,Laboratory,C,LabSource,80,50.06,27
127,Trash Bags,Cleaning,B,OfficeMax,23,79.29,29
128,Lab Coat,Safety Equipment,D,CleanAll Ltd.,60,76.33,33
129,Office Desk,Furniture,C,ChemSupply Co.,41,44.53,40
130,Safety Goggles,Safety Equipment,D,ChemSupply Co.,47,13.14,47
131,Bunsen Burner,Laboratory,C,OfficeMax,59,35.64,20
132,Respirator,Safety Equipment,D,ChemSupply Co.,51,20.98,43
133,Face Shield,Safety Equipment,D,CleanAll Ltd.,73,5.36,49
134,Conference Table,Furniture,C,CleanAll Ltd.,41,95.81,33
135,Test Tubes,Laboratory,B,OfficeMax,28,78.41,29
136,Paper A4,Office Supplies,C,TechWorld Inc.,37,19.83,33
137,Sodium Hydroxide,Chemicals,A,OfficeMax,20,168.17,10
138,Standing Desk,Furniture,C,FurniTech,20,88.48,32
139,Toluene,Chemicals,A,OfficeMax,21,238.03,16
140,Ear Protection,Safety Equipment,D,FurniTech,55,68.86,26
141,Bunsen Burner,Laboratory,A,FurniTech,5,206.25,10
142,Emergency Eyewash,Safety Equipment,D,FurniTech,36,43.49,45
143,Glass Cleaner,Cleaning,C,LabSource,54,63.0,34
144,Mouse,Electronics,B,OfficeMax,34,52.65,16
145,Glass Cleaner,Cleaning,B,OfficeMax,19,81.13,24
146,Paper A3,Office Supplies,C,FurniTech,36,62.61,32
147,Printer,Electronics,B,FurniTech,28,139.92,22
148,All-Purpose Cleaner,Cleaning,B,ChemSupply Co.,16,105.56,22
149,Toilet Paper,Cleaning,C,TechWorld Inc.,29,37.76,37
150,Respirator,Safety Equipment,D,LabSource,42,5.07,45
151,Filing Cabinet,Furniture,C,OfficeMax,40,53.6,34
152,Laptop,Electronics,C,ChemSupply Co.,48,22.71,29
153,Tape Dispenser,Office Supplies,D,LabSource,96,77.81,42
154,Conference Table,Furniture,C,FurniTech,65,54.37,31
155,Analytical Balance,Laboratory,A,TechWorld Inc.,23,190.51,17
156,Hydrochloric Acid,Chemicals,A,LabSource,8,181.5,10
157,Pipettes,Laboratory,A,LabSource,9,268.47,16
158,Petri Dishes,Laboratory,C,ChemSupply Co.,51,77.78,27
159,Scissors,Office Supplies,C,ChemSupply Co.,62,58.97,22
