ProductID,ProductName,Category,HazardClass,Supplier,Stock,Price,ReorderLevel
101,Xylene,Chemicals,A,ChemSupply Co.,11,276.64,17
102,Methanol,Chemicals,B,FurniTech,13,62.58,32
103,Formaldehyde,Chemicals,B,LabSource,28,32.08,35
106,Petri Dishes,Laboratory,B,FurniTech,25,118.76,33
108,Methanol,Chemicals,A,ChemSupply Co.,16,102.03,17
109,Office Desk,Furniture,D,CleanAll Ltd.,28,8.62,36
110,All-Purpose Cleaner,Cleaning,B,CleanAll Ltd.,14,115.56,20
114,Acetone,Chemicals,B,OfficeMax,15,94.67,27
116,Chemical Gloves,Safety Equipment,D,ChemSupply Co.,30,30.32,38
119,Ear Protection,Safety Equipment,D,FurniTech,36,15.76,45
122,Wet Mop,Cleaning,B,OfficeMax,17,85.93,29
127,Trash Bags,Cleaning,B,OfficeMax,23,79.29,29
135,Test Tubes,Laboratory,B,OfficeMax,28,78.41,29
138,Standing Desk,Furniture,C,FurniTech,20,88.48,32
141,Bunsen Burner,Laboratory,A,FurniTech,5,206.25,10
142,Emergency Eyewash,Safety Equipment,D,FurniTech,36,43.49,45
145,Glass Cleaner,Cleaning,B,OfficeMax,19,81.13,24
148,All-Purpose Cleaner,Cleaning,B,ChemSupply Co.,16,105.56,22
149,Toilet Paper,Cleaning,C,TechWorld Inc.,29,37.76,37
150,Respirator,Safety Equipment,D,LabSource,42,5.07,45
156,Hydrochloric Acid,Chemicals,A,LabSource,8,181.5,10
157,Pipettes,Laboratory,A,LabSource,9,268.47,16
161,Face Shield,Safety Equipment,D,ChemSupply Co.,33,60.73,42
162,Microscope,Laboratory,B,TechWorld Inc.,16,80.35,21
165,Filing Cabinet,Furniture,D,LabSource,36,55.55,43
168,Staples Box,Office Supplies,D,TechWorld Inc.,37,72.18,39
169,Trash Bags,Cleaning,B,OfficeMax,30,148.17,32
174,Centrifuge,Laboratory,C,CleanAll Ltd.,22,96.07,26
175,Standing Desk,Furniture,D,TechWorld Inc.,37,14.92,47
180,Centrifuge,Laboratory,C,CleanAll Ltd.,24,26.22,31
182,Microscope,Laboratory,C,FurniTech,21,61.42,27
184,Methanol,Chemicals,B,FurniTech,20,42.07,26
185,Pipettes,Laboratory,C,OfficeMax,18,18.89,23
187,Paper A3,Office Supplies,D,LabSource,35,21.61,44
193,Floor Cleaner,Cleaning,C,LabSource,20,83.99,37
194,Ear Protection,Safety Equipment,D,ChemSupply Co.,29,38.16,37
196,Toilet Paper,Cleaning,B,TechWorld Inc.,22,147.98,28
197,Beakers,Laboratory,A,FurniTech,15,156.42,19
201,Test Tubes,Laboratory,A,TechWorld Inc.,11,183.11,14
202,Xylene,Chemicals,A,ChemSupply Co.,7,166.93,12
207,Sofa,Furniture,C,FurniTech,25,36.0,32
212,Chloroform,Chemicals,A,ChemSupply Co.,16,188.09,21
214,Filing Cabinet,Furniture,C,LabSource,23,72.71,36
220,Office Chair,Furniture,D,TechWorld Inc.,32,63.9,43
226,Formaldehyde,Chemicals,B,FurniTech,31,30.57,33
235,Xylene,Chemicals,B,ChemSupply Co.,19,134.72,24
237,Paper Towels,Cleaning,B,OfficeMax,26,69.82,33
243,Scissors,Office Supplies,D,FurniTech,38,48.88,46
244,Tape Dispenser,Office Supplies,D,TechWorld Inc.,28,34.05,35
246,Beakers,Laboratory,A,TechWorld Inc.,5,92.19,19
247,Bookshelf,Furniture,D,FurniTech,36,59.38,41
248,Sodium Hydroxide,Chemicals,A,ChemSupply Co.,9,298.13,15
251,External Hard Drive,Electronics,D,LabSource,26,36.7,33
257,UPS,Electronics,B,ChemSupply Co.,13,122.27,30
261,Tablet,Electronics,B,LabSource,15,96.76,33
262,Flask Set,Laboratory,A,ChemSupply Co.,20,236.76,23
263,Benzene,Chemicals,A,CleanAll Ltd.,19,77.05,24
269,Face Shield,Safety Equipment,D,OfficeMax,27,44.41,34
270,Benzene,Chemicals,B,OfficeMax,17,96.8,22
271,Methanol,Chemicals,B,OfficeMax,28,54.77,31
